标题,价格,出租类型,房屋类型,格局,面积,朝向,装修,楼层,小区,位置,发布人
祥店国贸阳光1房1厅+储物间2600家电齐全好房不等人,2600,整租,普通住宅,1室1厅1卫,55平米,朝南北,中等装修,第17层/共20层,国贸阳光,祥店,经纪人：
长安大厦3室2厅2卫122m²,4100,整租,普通住宅,3室2厅2卫,122平米,朝南北,精装修,第12层/共22层,长安大厦,吕岭路,经纪人：
江头福隆国际东方巴黎广场冠宏花园精装修3房地铁口,4700,整租,普通住宅,3室2厅1卫,100平米,朝南北,精装修,第11层/共27层,冠宏花园,江头北路,经纪人：
新房出租，装修温馨，配置全齐，适合两口之家和情侣居住,2800,整租,普通住宅,2室1厅1卫,70平米,朝南,精装修,第8层/共12层,金枋世家,,经纪人：
湖里市政务中心五缘yoho旁湾悦城3房出租,4500,整租,普通住宅,3室1厅1卫,60平米,朝东,精装修,第9层/共20层,五缘湾商务中心,市政务中心,经纪人：
水晶森林新出的1室，看房方便,3300,整租,普通住宅,1室1厅1卫,65平米,朝南北,中等装修,第10层/共12层,水晶森林,安兜,经纪人：
天地花园电梯欧式豪装全新拎包入住187平仅租6000,6000,整租,普通住宅,3室2厅2卫,187平米,朝南北,中等装修,第7层/共9层,天地花园,江头北路,经纪人：
建发 枋湖 金典3房，南北通透，居家首选,3300,整租,普通住宅,3室1厅1卫,80平米,朝南北,精装修,第7层/共12层,金枋世家,,经纪人：
太古宿舍站附近安兜超大一房一厅40平米（个人出租）,1100,整租,普通住宅,1室1厅1卫,40平米,朝南,中等装修,第4层/共8层,太古宿舍站（安兜社）,枋钟路,个人                                                ：
青友品牌公寓出租力拓新城小区 交通便利 家具齐全 拎包入住 多套房源 价格1600-3200不等,2600,整租,公寓,2室1厅1卫,46平米,第9层/共13层,,,力拓新城,机场附近,品牌公寓：
房东直租免中介费 高档海景小区湖里高新技术园1900,1900,整租,公寓,1室1厅1卫,30平米,第9层/共13层,,,新景国际外滩,机场附近,品牌公寓：
青友公寓 双十BRT 力拓新城 一房一厅 家具家电齐全周边配套齐全,2100,整租,公寓,1室1厅1卫,35平米,第6层/共11层,,,力拓新城,市政务中心,品牌公寓：
UONE天地|精装单间|近BRT|居住证开发票,1438,合租,公寓,3室1厅3卫,30平米,第5层/共14层,,,UONE天地,机场附近,品牌公寓：
BRT旁全新招租免租期到月底！！,2050,整租,公寓,2室1厅1卫,50平米,第2层/共5层,,,西潘社区,金山小区,品牌公寓：
天地花园电梯欧式豪装全新拎包入住187平仅租6000,6000,整租,普通住宅,3室2厅2卫,187平米,朝南北,中等装修,第7层/共9层,天地花园,江头北路,经纪人：
建发 枋湖 金典3房，南北通透，居家首选,3300,整租,普通住宅,3室1厅1卫,80平米,朝南北,精装修,第7层/共12层,金枋世家,,经纪人：
太古宿舍站附近安兜超大一房一厅40平米（个人出租）,1100,整租,普通住宅,1室1厅1卫,40平米,朝南,中等装修,第4层/共8层,太古宿舍站（安兜社）,枋钟路,个人                                                ：
湾悦城旁湾区一期2+1空房有二个卫浴房东直租,6000,整租,公寓,3室2厅2卫,103平米,朝南,豪华装修,第10层/共31层,建发中央湾区,五缘湾,经纪人：
个人出租万达广场对面高林社单间、一房一厅，有家电家具,750,整租,普通住宅,1室1厅1卫,38平米,朝南,简单装修,第3层/共5层,高林社区,万达广场,个人                                                ：
个人，天成花园一房一厅一卫一厨1900元，实际照片18959242508,1900,整租,普通住宅,1室0厅1卫,45平米,朝南,精装修,第23层/共24层,天成花园,SM附近,个人                                                ：
软件园二期  湖里万达广场蔡塘  世茂湖滨花园  高装2房,4100,整租,普通住宅,2室1厅1卫,80平米,朝南北,精装修,第17层/共28层,世茂湖滨首府,湖边水库片,经纪人：
湖里万达广场 软件园二期 蔡塘 世茂湖滨  高装2房,3900,整租,普通住宅,2室1厅1卫,80平米,朝南北,精装修,第9层/共28层,世茂湖滨首府,湖边水库片,经纪人：
湖里万达广场软件园二期蔡塘世茂湖滨高装2房,3900,整租,普通住宅,2室1厅1卫,80平米,朝南北,精装修,第9层/共28层,世茂湖滨首府,湖边水库片,经纪人：
房东诚意出租，租金6000元,6000,整租,普通住宅,3室2厅2卫,127平米,朝南,精装修,第18层/共32层,世茂湖滨首府B区,湖边水库片,经纪人：
房东诚意出租，租金6000元,5600,整租,普通住宅,3室2厅2卫,127平米,朝南,精装修,第18层/共32层,世茂湖滨首府B区,湖边水库片,经纪人：
湖里万达广场软件园二期蔡塘世茂湖滨高装2房,3900,整租,普通住宅,2室1厅1卫,80平米,朝南北,精装修,第9层/共28层,世茂湖滨首府,湖边水库片,经纪人：
的世茂湖滨店面横空出世了！期待你的入驻,14600,整租,普通住宅,3室2厅1卫,144平米,朝南北,毛坯,第1层/共2层,世茂湖滨首府,湖边水库片,经纪人：
芙蓉苑1室1厅1卫,2300,整租,普通住宅,1室1厅1卫,0平米,朝南,中等装修,第5层/共6层,芙蓉苑,湖里大道,个人                                                ：
湖里湾悦城BRT站五缘湾五缘新座尚座单身公寓独卫900起,1450,整租,普通住宅,1室0厅1卫,20平米,朝南北,中等装修,第21层/共25层,特房五缘新座,五缘湾,经纪人：
建发湾区3室1厅2卫免费提供宽带和闭路电视,6500,整租,普通住宅,3室1厅2卫,103平米,朝南,中等装修,第3层/共20层,建发中央湾区,五缘湾,经纪人：
书香佳缘正规3房精装高层拎包入住采光好个人出租,4600,整租,普通住宅,3室2厅2卫,124平米,朝南北,中等装修,第11层/共13层,书香佳缘,枋湖,经纪人：
紫金家园1室1卫房间刚空出来湾悦城，乐都汇旁随时看房,1450,整租,普通住宅,1室0厅1卫,30平米,朝南北,中等装修,第10层/共35层,紫金家园,五缘湾,经纪人：
大唐五缘YOHO精装修房间漂亮海景房随时看房拎包入住,2600,整租,普通住宅,1室1厅1卫,34平米,朝东,精装修,第19层/共24层,大唐五缘YOHO,五缘湾,经纪人：
个人租免中介 湖里高新技术园宏益华府小区 单间精装多样风格配套齐全公寓（赠送物业宽带 可押一付一 可短租 拎包入住 交通便利）,1450,整租,公寓,1室0厅1卫,22平米,第7层/共13层,,,宏益华府,市政务中心,品牌公寓：
青友公寓 双十BRT 力拓新城 一房一厅 家具家电齐全周边配套齐全,2100,整租,公寓,1室1厅1卫,35平米,第3层/共11层,,,力拓新城,县后,品牌公寓：
BRT县后站旁宏益华府单身公寓低价出租,1450,整租,公寓,1室1厅1卫,28平米,第7层/共13层,,,宏益华府,高新技术园,品牌公寓：
青友公寓 县后BRT 宏益华府 两房一厅 家具家电齐全 周边配套齐,2750,整租,公寓,2室1厅1卫,48平米,第6层/共13层,,,宏益华府,县后,品牌公寓：
房东直租免中介费 高档海景小区湖里高新技术园1900,1900,整租,公寓,1室1厅1卫,30平米,第9层/共13层,,,新景国际外滩,五缘湾,品牌公寓：
紫金家园1室1卫房间刚空出来湾悦城，乐都汇旁随时看房,1450,整租,普通住宅,1室0厅1卫,30平米,朝南北,中等装修,第10层/共35层,紫金家园,五缘湾,经纪人：
大唐五缘YOHO精装修房间漂亮海景房随时看房拎包入住,2600,整租,普通住宅,1室1厅1卫,34平米,朝东,精装修,第19层/共24层,大唐五缘YOHO,五缘湾,经纪人：
万达soho公寓多套出租看房有钥匙配套齐全,2450,整租,普通住宅,1室0厅1卫,44平米,朝南,精装修,第31层/共31层,万达SOHO公寓,湖边水库片,经纪人：
单间独卫特房五缘新座乐购市政BRT旁配套齐全看房方便,1450,整租,普通住宅,1室0厅1卫,30平米,朝南北,中等装修,第15层/共26层,特房五缘新座,市政务中心,经纪人：
5600/月世茂湖滨精装三房，全套家具拎包入住！,5600,整租,普通住宅,3室2厅2卫,104平米,朝南北,中等装修,第9层/共41层,世茂湖滨首府,湖边水库片,经纪人：
1600/月，真实照片，实地拍摄，干净清爽，随时来电看房！,1600,整租,普通住宅,1室0厅1卫,25平米,朝南北,中等装修,第24层/共32层,世茂湖滨首府,湖边水库片,经纪人：
百闻不如一见！64.00平稀缺64.00平献给懂得享受的你,4200,整租,普通住宅,3室2厅2卫,64平米,朝南,精装修,第13层/共28层,万科中心,万达广场,经纪人：
祥店，联发旁，国贸阳光，精装两房，朝南双阳台，可拎包入住,3800,整租,普通住宅,2室2厅1卫,90平米,朝南北,中等装修,第5层/共15层,国贸阳光,祥店,经纪人：
祥店中医院，快乐天地，实验二小旁家具齐全3300元3房,3200,整租,普通住宅,2室1厅1卫,70平米,朝南北,毛坯,第25层/共29层,第二城快乐天地,祥店,经纪人：
联发，国贸，福满园，精装两房，全套家具家电，可拎包入住！！！,2600,整租,普通住宅,2室1厅1卫,82平米,朝南北,简单装修,第1层/共10层,金尚风景（福满园）,祥店,经纪人：
五缘湾《建发湾区SOHO》挑高5米办公装修直接拎包办公~,4200,整租,普通住宅,2室1厅2卫,61平米,朝西,精装修,第9层/共20层,建发众创空间,保税区,经纪人：
建发湾区SOHO：4300入驻湾悦城空房办公装临近BRT,4300,整租,普通住宅,2室2厅2卫,63平米,朝东西,精装修,第9层/共19层,建发湾区SOHO,五缘湾,经纪人：
BRT沿线，特房五缘新座，正规两房出租拎包入住，购物方便,4500,整租,普通住宅,2室2厅1卫,90平米,朝南,中等装修,第11层/共25层,特房五缘新座,市政务中心,经纪人：
特房五缘新座横空出世了！期待你的入住！精装3房，拎包入住，,6800,整租,普通住宅,3室2厅2卫,114平米,朝南北,精装修,第21层/共28层,特房五缘新座,市政务中心,经纪人：
个人中介费在枋湖东二里吉家家世界对面大洋雅苑小区单身公小区交通便利,1800,整租,普通住宅,1室1厅1卫,50平米,朝南,中等装修,第7层/共16层,大洋雅苑,枋湖,个人                                                ：
个人免中介费在翔鹭大酒店侧边翔鹭花城3期10-201小区梯单身公寓出租带阳台,1100,整租,普通住宅,1室0厅1卫,28平米,朝南,中等装修,第2层/共15层,翔鹭花城1期,殿前,个人                                                ：
个人出租万达广场对面高林村口单间套房，家电家具齐全，生活交通方便,600,整租,公寓,1室0厅1卫,26平米,朝南,中等装修,第3层/共6层,厦门万达广场,万达广场,个人                                                ：
五缘湾特房五缘尊府自住精装两房出租拎包入住寻求有缘人,6200,整租,普通住宅,2室2厅1卫,87平米,朝南,精装修,第13层/共25层,特房五缘尊府,五缘湾,经纪人：
个人出租万达广场对面仙岳路边单间、两房，家电家具齐全，生活交通方便,800,整租,公寓,1室0厅1卫,32平米,朝南,精装修,第3层/共5层,高林社区,万达广场,个人                                                ：
青友品牌公寓出租免中介 湖里高新技术与园宏益华府小区 两室一厅精装多样风格配套齐全公寓（赠送物业宽带 可押一付一 可短租 拎包入住 交通便利）,2799,整租,公寓,2室1厅1卫,52平米,第8层/共13层,,,宏益华府,高新技术园,品牌公寓：
青友公寓出租力拓新城小区 交通便利 家具齐全 拎包入住 多套房源 价格1600-3200不等,1800,整租,公寓,1室1厅1卫,30平米,第6层/共13层,,,力拓新城,万达广场,品牌公寓：
青友公寓直租免中介费 国际石材新出精装公寓 设计新颖 设施配备齐全 包物业宽带,1600,整租,公寓,1室1厅1卫,25平米,第5层/共9层,,,国际石材中心,市政务中心,品牌公寓：
青友公寓无中介 湖里高新区精品房源 设施配备齐全 交通便利,1900,整租,公寓,1室1厅1卫,25平米,第9层/共9层,,,国际石材中心,县后,品牌公寓：
个人金山片区loft小复式楼出租齐全,1500,整租,公寓,1室1厅1卫,25平米,第3层/共6层,,,金山小学,湖里周边,品牌公寓：
大唐五缘YOHO精装修房间漂亮海景房随时看房拎包入住,2600,整租,普通住宅,1室1厅1卫,34平米,朝东,精装修,第19层/共24层,大唐五缘YOHO,五缘湾,经纪人：
万达soho公寓多套出租看房有钥匙配套齐全,2450,整租,普通住宅,1室0厅1卫,44平米,朝南,精装修,第31层/共31层,万达SOHO公寓,湖边水库片,经纪人：
单间独卫特房五缘新座乐购市政BRT旁配套齐全看房方便,1450,整租,普通住宅,1室0厅1卫,30平米,朝南北,中等装修,第15层/共26层,特房五缘新座,市政务中心,经纪人：
5600/月世茂湖滨精装三房，全套家具拎包入住！,5600,整租,普通住宅,3室2厅2卫,104平米,朝南北,中等装修,第9层/共41层,世茂湖滨首府,湖边水库片,经纪人：
1600/月，真实照片，实地拍摄，干净清爽，随时来电看房！,1600,整租,普通住宅,1室0厅1卫,25平米,朝南北,中等装修,第24层/共32层,世茂湖滨首府,湖边水库片,经纪人：
百闻不如一见！64.00平稀缺64.00平献给懂得享受的你,4200,整租,普通住宅,3室2厅2卫,64平米,朝南,精装修,第13层/共28层,万科中心,万达广场,经纪人：
祥店，联发旁，国贸阳光，精装两房，朝南双阳台，可拎包入住,3800,整租,普通住宅,2室2厅1卫,90平米,朝南北,中等装修,第5层/共15层,国贸阳光,祥店,经纪人：
祥店中医院，快乐天地，实验二小旁家具齐全3300元3房,3200,整租,普通住宅,2室1厅1卫,70平米,朝南北,毛坯,第25层/共29层,第二城快乐天地,祥店,经纪人：
联发，国贸，福满园，精装两房，全套家具家电，可拎包入住！！！,2600,整租,普通住宅,2室1厅1卫,82平米,朝南北,简单装修,第1层/共10层,金尚风景（福满园）,祥店,经纪人：
五缘湾《建发湾区SOHO》挑高5米办公装修直接拎包办公~,4200,整租,普通住宅,2室1厅2卫,61平米,朝西,精装修,第9层/共20层,建发众创空间,保税区,经纪人：
建发湾区SOHO：4300入驻湾悦城空房办公装临近BRT,4300,整租,普通住宅,2室2厅2卫,63平米,朝东西,精装修,第9层/共19层,建发湾区SOHO,五缘湾,经纪人：
BRT沿线，特房五缘新座，正规两房出租拎包入住，购物方便,4500,整租,普通住宅,2室2厅1卫,90平米,朝南,中等装修,第11层/共25层,特房五缘新座,市政务中心,经纪人：
特房五缘新座横空出世了！期待你的入住！精装3房，拎包入住，,6800,整租,普通住宅,3室2厅2卫,114平米,朝南北,精装修,第21层/共28层,特房五缘新座,市政务中心,经纪人：
个人中介费在枋湖东二里吉家家世界对面大洋雅苑小区单身公小区交通便利,1800,整租,普通住宅,1室1厅1卫,50平米,朝南,中等装修,第7层/共16层,大洋雅苑,枋湖,个人                                                ：
个人免中介费在翔鹭大酒店侧边翔鹭花城3期10-201小区梯单身公寓出租带阳台,1100,整租,普通住宅,1室0厅1卫,28平米,朝南,中等装修,第2层/共15层,翔鹭花城1期,殿前,个人                                                ：
个人出租万达广场对面高林村口单间套房，家电家具齐全，生活交通方便,600,整租,公寓,1室0厅1卫,26平米,朝南,中等装修,第3层/共6层,厦门万达广场,万达广场,个人                                                ：
五缘湾特房五缘尊府自住精装两房出租拎包入住寻求有缘人,6200,整租,普通住宅,2室2厅1卫,87平米,朝南,精装修,第13层/共25层,特房五缘尊府,五缘湾,经纪人：
个人出租万达广场对面仙岳路边单间、两房，家电家具齐全，生活交通方便,800,整租,公寓,1室0厅1卫,32平米,朝南,精装修,第3层/共5层,高林社区,万达广场,个人                                                ：
地铁口中铁财富港湾最好户型2房客厅带阳台随时看房,3700,整租,普通住宅,2室2厅1卫,73平米,朝南北,中等装修,第31层/共31层,中铁财富港湾,江头北路,经纪人：
个人金山片区loft小复式楼出租齐全,1500,整租,公寓,1室1厅1卫,25平米,第3层/共6层,,,金山小学,湖里周边,品牌公寓：
直租免中介，湖里高新技术园力拓大厦,1600,整租,公寓,1室1厅1卫,32平米,第8层/共13层,,,力拓大厦,县后,品牌公寓：
青领寓自营房源独门独户密码锁一房一厅,1800,整租,公寓,1室1厅1卫,33平米,第13层/共13层,,,宏益华府,高新技术园,品牌公寓：
青友公寓无中介 湖里高新区精品房源 设施配备齐全 交通便利,1550,整租,公寓,1室1厅1卫,25平米,第5层/共9层,,,国际石材中心,机场附近,品牌公寓：
湖里台湾街精装修两房1厅个人,3000,整租,公寓,2室1厅1卫,65平米,第12层/共15层,,,华永天地,台湾街,品牌公寓：
个人出租万达广场对面高林村口单间套房，家电家具齐全，生活交通方便,600,整租,公寓,1室0厅1卫,26平米,朝南,中等装修,第3层/共6层,厦门万达广场,万达广场,个人                                                ：
五缘湾特房五缘尊府自住精装两房出租拎包入住寻求有缘人,6200,整租,普通住宅,2室2厅1卫,87平米,朝南,精装修,第13层/共25层,特房五缘尊府,五缘湾,经纪人：
个人出租万达广场对面仙岳路边单间、两房，家电家具齐全，生活交通方便,800,整租,公寓,1室0厅1卫,32平米,朝南,精装修,第3层/共5层,高林社区,万达广场,个人                                                ：
地铁口中铁财富港湾最好户型2房客厅带阳台随时看房,3700,整租,普通住宅,2室2厅1卫,73平米,朝南北,中等装修,第31层/共31层,中铁财富港湾,江头北路,经纪人：
SM裕兴大厦正规单生公寓新装修适合爱干净的你随时看房,2100,整租,普通住宅,1室1厅1卫,46平米,朝南北,中等装修,第18层/共20层,裕兴大厦,江头北路,经纪人：
S.M吕厝江头冠宏花园电梯高层正规3房急租,4000,整租,普通住宅,3室1厅1卫,98平米,朝南北,中等装修,第13层/共28层,冠宏花园,江头北路,经纪人：
枋湖东晖广场2房1厅包物业包宽带仅2800,2800,整租,普通住宅,2室1厅1卫,56平米,朝南北,精装修,第8层/共14层,东晖广场,枋湖,经纪人：
枋湖禹州香槟城单间独卫可做饭包物业宝快带,1590,整租,普通住宅,1室0厅1卫,38平米,朝南北,精装修,第6层/共14层,禹洲城上城,金湖路,经纪人：
车位出租中央天成快乐天地旁出租600起租,600,整租,普通住宅,1室0厅1卫,30平米,朝南北,中等装修,第1层/共2层,建发中央天成,祥店,经纪人：
国贸阳光正规中等装修绝对让您一见倾心,2500,整租,普通住宅,2室1厅1卫,50平米,朝北,中等装修,第1层/共19层,国贸阳光一期,祥店,经纪人：
国贸阳光正规中等装修绝对让您一见倾心,2500,整租,普通住宅,2室1厅1卫,50平米,朝北,中等装修,第1层/共19层,国贸阳光一期,祥店,经纪人：
万科云玺精装修，采光好，3500起租,4000,整租,普通住宅,3室2厅2卫,64平米,朝南,精装修,第12层/共28层,万科中心云玺,万达广场,经纪人：
国贸阳光正规中等装修绝对让您一见倾心,2500,整租,普通住宅,2室1厅1卫,50平米,朝北,中等装修,第1层/共19层,国贸阳光一期,祥店,经纪人：
五缘湾乐购旁单身公寓复式精装家电齐全拎包入住,2500,整租,普通住宅,1室1厅1卫,33平米,朝南,精装修,第12层/共26层,大唐五缘YOHO,五缘湾,经纪人：
五缘湾SOHO精装未入住5米楼中楼2房2卫使用面积大,4500,整租,普通住宅,2室2厅2卫,63平米,朝南北,中等装修,第20层/共20层,建发湾区SOHO,五缘湾,经纪人：
五缘湾片区花园小区多套精装全套两房三房出租欢迎来电咨询,4500,整租,普通住宅,3室2厅2卫,103平米,朝南,精装修,第18层/共27层,特房五缘尚座,五缘湾,经纪人：
五缘湾特房五缘新座正规两房全套家电拧包入住BRT沿线,4500,整租,普通住宅,2室2厅1卫,90平米,朝南北,中等装修,第11层/共24层,特房五缘新座,市政务中心,经纪人：
高新园创新园宏益华府精装单身公寓家具齐全租金包物业宽带BRT,1450,整租,普通住宅,1室0厅1卫,22平米,朝南北,精装修,第8层/共13层,宏益华府,高新技术园,经纪人：
高新园创新园宏益华府精装单身公寓家具齐全租金包物业宽带BRT,1450,整租,普通住宅,1室0厅1卫,22平米,朝南北,精装修,第8层/共13层,宏益华府,高新技术园,经纪人：
湖里高新技术园红星美凯龙旁,1799,整租,公寓,1室1厅1卫,39平米,第8层/共13层,,,宏益华府,高新技术园,品牌公寓：
青友免中介 湖里江头北路 华永天地2室1厅2900 精装 采光好,2900,整租,公寓,2室1厅1卫,68平米,第12层/共15层,,,华永天地,江头北路,品牌公寓：
南北通透全新家具全新装修,1338,整租,公寓,1室1厅1卫,28平米,第7层/共14层,,,UONE天地,高新技术园,品牌公寓：
全新整栋商住皆可包物业宽带多套,1500,整租,公寓,1室1厅1卫,25平米,第6层/共6层,,,中铺社,机场附近,品牌公寓：
全新家具拎包入住免中间费用,1338,整租,公寓,1室1厅1卫,25平米,第2层/共14层,,,UONE天地,高新技术园,品牌公寓：
国贸阳光正规中等装修绝对让您一见倾心,2500,整租,普通住宅,2室1厅1卫,50平米,朝北,中等装修,第1层/共19层,国贸阳光一期,祥店,经纪人：
国贸阳光正规中等装修绝对让您一见倾心,2500,整租,普通住宅,2室1厅1卫,50平米,朝北,中等装修,第1层/共19层,国贸阳光一期,祥店,经纪人：
万科云玺精装修，采光好，3500起租,4000,整租,普通住宅,3室2厅2卫,64平米,朝南,精装修,第12层/共28层,万科中心云玺,万达广场,经纪人：
国贸阳光正规中等装修绝对让您一见倾心,2500,整租,普通住宅,2室1厅1卫,50平米,朝北,中等装修,第1层/共19层,国贸阳光一期,祥店,经纪人：
五缘湾乐购旁单身公寓复式精装家电齐全拎包入住,2500,整租,普通住宅,1室1厅1卫,33平米,朝南,精装修,第12层/共26层,大唐五缘YOHO,五缘湾,经纪人：
五缘湾SOHO精装未入住5米楼中楼2房2卫使用面积大,4500,整租,普通住宅,2室2厅2卫,63平米,朝南北,中等装修,第20层/共20层,建发湾区SOHO,五缘湾,经纪人：
五缘湾片区花园小区多套精装全套两房三房出租欢迎来电咨询,4500,整租,普通住宅,3室2厅2卫,103平米,朝南,精装修,第18层/共27层,特房五缘尚座,五缘湾,经纪人：
五缘湾特房五缘新座正规两房全套家电拧包入住BRT沿线,4500,整租,普通住宅,2室2厅1卫,90平米,朝南北,中等装修,第11层/共24层,特房五缘新座,市政务中心,经纪人：
高新园创新园宏益华府精装单身公寓家具齐全租金包物业宽带BRT,1450,整租,普通住宅,1室0厅1卫,22平米,朝南北,精装修,第8层/共13层,宏益华府,高新技术园,经纪人：
高新园创新园宏益华府精装单身公寓家具齐全租金包物业宽带BRT,1450,整租,普通住宅,1室0厅1卫,22平米,朝南北,精装修,第8层/共13层,宏益华府,高新技术园,经纪人：
湖里高新区BRT县后站乔丹361汇金大厦住家装两房两厅整租,3500,整租,普通住宅,2室2厅1卫,110平米,朝南北,精装修,第4层/共10层,宏益华府,高新技术园,经纪人：
湖里高新区BRT双十县后站乔丹361精装单身公寓免宽带物业,1500,整租,普通住宅,1室0厅1卫,20平米,朝南北,精装修,第2层/共13层,力拓新城,五缘湾,经纪人：
个人出租湖边水库片区万达广场对面单间、一房一厅，有家电家具,500,整租,普通住宅,1室0厅1卫,26平米,朝南,中等装修,第3层/共5层,高林社区,湖边水库片,个人                                                ：
个人出租湖边水库片区万达广场对面单间、一房一厅，有家电家具,750,整租,普通住宅,1室1厅1卫,36平米,朝南,简单装修,第3层/共5层,高林社区,湖边水库片,个人                                                ：
万达观音山高林一里2房仅租3000,3200,整租,普通住宅,2室1厅1卫,71平米,朝南北,中等装修,第5层/共20层,高林社区,市政务中心,经纪人：
软件园高林一里2房3000清爽出租,3200,整租,普通住宅,2室1厅1卫,71平米,朝南北,中等装修,第5层/共20层,高林社区,市政务中心,经纪人：
地铁口汇腾天虹对面冠宏花园12平欧装4房租5500,5500,整租,普通住宅,4室2厅2卫,128平米,朝西南,豪华装修,第18层/共27层,冠宏花园,江头北路,经纪人：
吕厝地铁口福隆国际豪装1房看了就想有个家,4000,整租,普通住宅,1室1厅1卫,60平米,朝南北,豪华装修,第19层/共31层,福隆国际,江头北路,经纪人：
正规2房1厅中铁财富港湾中等装修朝南北,4000,整租,普通住宅,2室2厅1卫,61平米,朝南北,中等装修,第12层/共31层,中铁财富港湾,江头北路,经纪人：
个人非中介 高新技术园力拓大厦,2600,整租,公寓,2室1厅1卫,43平米,第8层/共13层,,,力拓大厦,市政务中心,品牌公寓：
个人枋湖1房独卫带阳台可煮饭包宽带,1600,整租,公寓,1室0厅1卫,25平米,第13层/共18层,,,禹州城上城,金尚路,品牌公寓：
金山公交车站旁融景湾朝南湖景两室一厅,2850,整租,公寓,2室1厅1卫,62平米,第10层/共32层,,,融景湾,金山小区,品牌公寓：
全新家具拎包入住免中间费用,1338,整租,公寓,1室1厅1卫,23平米,第2层/共14层,,,UONE天地,高新技术园,品牌公寓：
青友公寓招租 个人 多套单间出租 1450-1600元 包物业宽带 拎包入住,1500,整租,公寓,1室0厅1卫,25平米,第13层/共15层,,,华永天地,台湾街,品牌公寓：
软件园高林一里2房3000清爽出租,3200,整租,普通住宅,2室1厅1卫,71平米,朝南北,中等装修,第5层/共20层,高林社区,市政务中心,经纪人：
地铁口汇腾天虹对面冠宏花园12平欧装4房租5500,5500,整租,普通住宅,4室2厅2卫,128平米,朝西南,豪华装修,第18层/共27层,冠宏花园,江头北路,经纪人：
吕厝地铁口福隆国际豪装1房看了就想有个家,4000,整租,普通住宅,1室1厅1卫,60平米,朝南北,豪华装修,第19层/共31层,福隆国际,江头北路,经纪人：
正规2房1厅中铁财富港湾中等装修朝南北,4000,整租,普通住宅,2室2厅1卫,61平米,朝南北,中等装修,第12层/共31层,中铁财富港湾,江头北路,经纪人：
枋湖宏伟大厦朝南电梯4房楼层高租8000,8000,整租,普通住宅,4室2厅3卫,214平米,朝南,简单装修,第11层/共11层,宏伟大厦,枋湖,经纪人：
枋湖BRT旁金山国际1房精装修家电齐全随时入住!,2400,整租,普通住宅,1室1厅1卫,60平米,朝南北,中等装修,第13层/共24层,金山国际,金山小区,经纪人：
金山BRT金山站旁业主自住装修三房租金便宜看方便！拎包入住,3800,整租,普通住宅,3室2厅1卫,104平米,朝南北,精装修,第3层/共6层,金山花园,后坑,经纪人：
金山BRT沿线枋湖金山国际精装2房业主首次出租、交通便利,3100,整租,普通住宅,2室2厅1卫,85平米,朝南北,豪华装修,第9层/共18层,金山国际,金山小区,经纪人：
整租！建发湾区SOHO复式楼中楼拎包入住看房方便,4000,整租,普通住宅,2室1厅2卫,61平米,朝东,精装修,第16层/共20层,建发湾区SOHO,五缘湾,经纪人：
建发湾区SOHO精装修2房高层看湾景带家具BRT湾悦城,4800,整租,普通住宅,2室2厅2卫,63平米,朝南,中等装修,第19层/共20层,建发湾区SOHO,五缘湾,经纪人：
五缘湾湾悦城建发SOHO高层精装楼中楼配全套交通方便,4300,整租,普通住宅,2室2厅2卫,63平米,朝西,精装修,第18层/共20层,湾区SOHO,五缘湾,经纪人：
建发湾区高层视野，五缘湾繁华地段，精装修办公高层看湾景，乐购,4000,整租,普通住宅,2室2厅2卫,63平米,朝东西,精装修,第14层/共20层,湾区SOHO,市政务中心,经纪人：
整租！复式楼双层使用全新精装坐拥湾悦城BRT沿线近万达,4500,整租,普通住宅,3室2厅2卫,63平米,朝东,精装修,第18层/共20层,湾区SOHO,市政务中心,经纪人：
建发湾区S0H0办公住家精装修挑高五米超便宜仅此一套,3500,整租,普通住宅,2室1厅2卫,57平米,朝东,精装修,第16层/共20层,湾区SOHO,市政务中心,经纪人：
五缘湾大三房5300/月brt湾悦旁城现场拍摄,5300,整租,普通住宅,3室2厅2卫,114平米,朝南北,精装修,第3层/共25层,特房五缘新座,市政务中心,经纪人：
全景实拍五缘湾、全套精装三房、高楼南北通、看湾景啊！,6500,整租,普通住宅,3室2厅2卫,130平米,朝南北,中等装修,第22层/共27层,特房五缘尚座,五缘湾,经纪人：
五缘湾特房五缘尚座4室2厅1厨2卫精装新房未入住,7600,整租,普通住宅,4室2厅2卫,141平米,朝南北,精装修,第13层/共24层,特房五缘尚座,五缘湾,经纪人：
建发SOHO中高楼层，前排朝东看五缘湾，全新装修未入住过,4000,整租,普通住宅,2室1厅1卫,60平米,朝南北,精装修,第12层/共19层,建发湾区SOHO,五缘湾,经纪人：
湖边水库世茂湖滨精装单身公寓家电齐全可拎包入住,1700,整租,普通住宅,1室1厅1卫,25平米,朝南北,精装修,第19层/共30层,世茂湖滨首府,湖边水库片,经纪人：
直租免中介，湖里高新技术园力拓大厦,1600,整租,公寓,1室1厅1卫,32平米,第8层/共13层,,,力拓大厦,万达广场,品牌公寓：
青友品牌公寓出租力拓新城小区 交通便利 家具齐全 拎包入住 多套房源 价格1600-3200不等,2600,整租,公寓,2室1厅1卫,46平米,第9层/共13层,,,l力拓新城,五缘湾运动馆,品牌公寓：
